YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
1981 - Manning Basin,Manning Basin,Brown,465,1981,42.602739,-111.119003,2028,9,22,RX,Idaho,Fixed-area plot,0.01815,0 (every tree counted),Fuel Treatment Effects; Tree Mortality,,,,
1981 - Snowdrift,Snowdrift,Brown,481,1981,42.549037,-111.226913,2860,9,22,RX,Idaho,Fixed-area plot,0.01815,0 (every tree counted),Fuel Treatment Effects; Tree Mortality,,,,
1981 - Steep Creek,Steep Creek,Brown,323,1981,42.272226,-110.556666,2368,9,28,Wild,Wyoming,Fixed-area plot,0.01815,0 (every tree counted),Fuel Treatment Effects; Tree Mortality,,,,
1982 - SEKI 69 or 74 Reburn,SEKI 69 or 74 Reburn,NPS,9,1982,36.706663,-118.92054,1903,NA,NA,NA,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1983 - Oops,Oops,Hood,170,1983,48.359752,-116.752536,1303,10,NA,Wild,Idaho,Fixed-area plot,not available,not available,Tree Mortality,,,,
1983 - Upper Priest,Upper Priest,Hood,188,1983,48.359561,-116.751443,1315,9,NA,RX,Idaho,Fixed-area plot,not available,not available,Tree Mortality,,,,
1984 - Lower Priest,Lower Priest,Hood,281,1984,48.359561,-116.751443,1315,6,1,RX,Idaho,Fixed-area plot,not available,not available,Tree Mortality,,,,
1986 - SEKI Muir PNF,SEKI Muir PNF,NPS,43,1986,36.634222,-118.8385,2082,NA,NA,PNF,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1987 - SEKI Pierce W,SEKI Pierce W,NPS,74,1987,36.676244,-118.935951,1690,NA,NA,Wild,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
1988 - Air Patrol,Air Patrol,Hood,505,1988,45.50256,-106.586448,1269,8,11,Wild,Montana,not available,not available,not available,Tree mortality,,,,
1988 - Brewer,Brewer,Hood,626,1988,45.635843,-104.169324,1229,6,20,Wild,Montana,not available,not available,not available,Tree mortality,,,,
1988 - Canyon Creek,Canyon Creek,Hood,69,1988,46.43917,-111.792756,2378,6,25,Wild,Montana,Individual tree,NA,NA,Tree mortality,,,,
